,County,City,year,U Total,U Occupied,Pop Total
289,Contra Costa,Orinda,2019,7088.0,6827.0,19475.0
290,Contra Costa,Pinole,2010,7158.0,6775.0,18390.0
291,Contra Costa,Pinole,2011,7158.0,6775.0,18541.0
292,Contra Costa,Pinole,2012,7161.0,6779.0,18662.0
293,Contra Costa,Pinole,2013,7161.0,6781.0,18734.0
294,Contra Costa,Pinole,2014,7161.0,6779.0,18926.0
295,Contra Costa,Pinole,2015,7161.0,6778.0,19100.0
296,Contra Costa,Pinole,2016,7161.0,6780.0,19176.0
297,Contra Costa,Pinole,2017,7163.0,6778.0,19371.0
298,Contra Costa,Pinole,2018,7163.0,6777.0,19458.0
299,Contra Costa,Pinole,2019,7164.0,6778.0,19498.0
300,Contra Costa,Pittsburg,2010,21126.0,19527.0,63264.0
301,Contra Costa,Pittsburg,2011,21202.0,19624.0,64094.0
302,Contra Costa,Pittsburg,2012,21421.0,19826.0,65140.0
303,Contra Costa,Pittsburg,2013,21510.0,20068.0,66161.0
304,Contra Costa,Pittsburg,2014,21699.0,20130.0,67061.0
305,Contra Costa,Pittsburg,2015,21915.0,20274.0,68168.0
306,Contra Costa,Pittsburg,2016,22039.0,20524.0,69256.0
307,Contra Costa,Pittsburg,2017,22462.0,20626.0,70334.0
308,Contra Costa,Pittsburg,2018,22999.0,21020.0,72006.0
309,Contra Costa,Pittsburg,2019,23126.0,21136.0,72541.0
310,Contra Costa,Pleasant Hill,2010,14321.0,13708.0,33152.0
311,Contra Costa,Pleasant Hill,2011,14322.0,13714.0,33433.0
312,Contra Costa,Pleasant Hill,2012,14321.0,13712.0,33628.0
313,Contra Costa,Pleasant Hill,2013,14324.0,13744.0,33821.0
314,Contra Costa,Pleasant Hill,2014,14327.0,13726.0,34130.0
315,Contra Costa,Pleasant Hill,2015,14329.0,13718.0,34425.0
316,Contra Costa,Pleasant Hill,2016,14329.0,13742.0,34609.0
317,Contra Costa,Pleasant Hill,2017,14332.0,13694.0,34850.0
318,Contra Costa,Pleasant Hill,2018,14332.0,13677.0,34969.0
319,Contra Costa,Pleasant Hill,2019,14340.0,13685.0,35055.0
320,Contra Costa,Richmond,2010,39328.0,36093.0,103701.0
321,Contra Costa,Richmond,2011,39377.0,36178.0,104936.0
322,Contra Costa,Richmond,2012,39398.0,36197.0,105558.0
323,Contra Costa,Richmond,2013,39401.0,36432.0,106682.0
324,Contra Costa,Richmond,2014,39398.0,36429.0,107642.0
325,Contra Costa,Richmond,2015,39396.0,36347.0,108559.0
326,Contra Costa,Richmond,2016,39515.0,36649.0,109646.0
327,Contra Costa,Richmond,2017,39635.0,36351.0,109863.0
328,Contra Costa,Richmond,2018,39664.0,36241.0,110128.0
329,Contra Costa,Richmond,2019,39786.0,36352.0,110436.0
330,Contra Costa,San Pablo,2010,9571.0,8761.0,29139.0
